"","","","Padron Electoral","Partido Innovacion y 
Unidad SD","Partido Nacional de 
Honduras","Partido Liberal de 
Honduras","Partido Unificacion 
Democratica","Partido Democrata 
Cristiano","Votos 
Validos","Votos 
Nulos","Votos 
Blancos","Votos 
Escrutados","Papeletas 
Sobrantes"
"","","DEPARTAMENTO","2.005","2.005","2.005","2.005","2.005","2.005","2.005","2.005","2.005","2.005","2.005"
"01","","ATLANTIDA","209.254","1.207","41.660","43.374","1.003","811","88.055","6.154","2.562","96.771","112.483"
"02","","COLON","141.787","259","24.861","33.951","1.588","407","61.066","3.736","1.737","66.539","75.248"
"03","","COMAYAGUA","213.894","797","48.019","55.213","1.188","999","106.216","7.949","3.053","117.218","96.676"
"04","","COPAN","174.123","703","43.023","47.318","781","782","92.607","8.679","3.887","105.173","68.950"
"05","","CORTES","732.246","5.150","123.526","148.607","5.824","5.886","288.993","14.344","6.798","310.135","422.111"
"06","","CHOLUTECA","234.332","845","66.632","61.174","756","1.511","130.918","10.249","3.481","144.648","89.684"
"07","","EL PARAISO","215.497","550","52.178","69.643","973","848","124.192","10.179","3.375","137.746","77.751"
"08","","FCO MORAZAN","774.186","6.297","209.237","189.888","9.400","9.570","424.392","23.518","7.781","455.691","318.495"
"09","","GRACIAS A DIOS","23.680","100","4.852","8.025","201","300","13.478","828","527","14.833","8.847"
"10","","INTIBUCA","96.544","514","30.069","26.977","976","1.088","59.624","2.793","2.176","64.593","31.951"
"11","","ISLAS DE LA BAHIA","27.868","57","6.181","6.282","45","81","12.646","251","362","13.259","14.609"
"12","","LA PAZ","88.292","440","23.548","27.779","889","641","53.297","2.858","1.753","57.908","30.384"
"13","","LEMPIRA","133.109","484","42.143","38.814","448","738","82.627","7.495","3.605","93.727","39.382"
"14","","OCOTEPEQUE","66.318","350","18.067","22.308","264","415","41.404","851","1.559","43.814","22.504"
"15","","OLANCHO","237.715","533","59.632","66.163","849","850","128.027","9.779","3.740","141.546","96.169"
"16","","STA BARBARA","218.645","577","59.126","66.921","1.695","955","129.274","10.682","3.665","143.621","75.024"
"17","","VALLE","100.955","175","25.686","27.952","375","722","54.910","2.370","1.513","58.793","42.162"
"18","","YORO","276.595","1.039","46.598","58.416","2.493","1.196","109.742","10.612","3.565","123.919","152.676"
"20","","ESTADOS UNIDOS","11.510","16","205","201","6","12","440","24","0","464","11.046"
"TOTAL GENERAL","","","3.976.550","20.093","925.243","999.006","29.754","27.812","2.001.908","133.351","55.139","2.190.398","1.786.152"
"","","","","","","","","","","","","",""
